sample	contig	bgc_candidate_id	product_activity	protein_id	gene_start	gene_end	pfam_id	protein_id_1	clan	pfam	family	description	taxid	taxonomy
SRR6145058	k99_7881	k99_7881_2-1058.1	antibacterial	k99_7881_k99_7881_1	2	1058	PF00664	0.71394	CL0241	ABC_membrane	ABC_membrane	ABC transporter transmembrane region	1747	Cutibacterium acnes
SRR6145058	k99_6559	k99_6559_2-1295.1	antibacterial	k99_6559_k99_6559_1	2	1295	PF01425	0.61394	NA	NA	Amidase	Amidase	1747	Cutibacterium acnes
SRR6145058	k99_6559	k99_6559_1756-2368.1	antibacterial	k99_6559_k99_6559_3	1756	2368	PF01842	0.51236	CL0070	ACT	ACT	ACT domain	1747	Cutibacterium acnes
SRR6145058	k99_4044	k99_4044_239-1265.1	inhibitor	k99_4044_k99_4044_1	239	1265	PF00107	0.52678	CL0063	NADP_Rossmann	ADH_zinc_N	Zinc-binding dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_4044	k99_4044_239-1265.1	inhibitor	k99_4044_k99_4044_1	239	1265	PF16912	0.52172	CL0063	NADP_Rossmann	Glu_dehyd_C	Glucose dehydrogenase C-terminus	1747	Cutibacterium acnes
SRR6145058	k99_4044	k99_4044_239-1265.1	inhibitor	k99_4044_k99_4044_1	239	1265	PF01262	0.52011	CL0063	NADP_Rossmann	AlaDh_PNT_C	Alanine dehydrogenase/PNT, C-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_4044	k99_4044_239-1265.1	inhibitor	k99_4044_k99_4044_1	239	1265	PF08240	0.53744	CL0296	GroES	ADH_N	Alcohol dehydrogenase GroES-like domain	1747	Cutibacterium acnes
SRR6145058	k99_12023	k99_12023_1-1614.1	antibacterial	k99_12023_k99_12023_1	1	865	PF02775	0.6047	CL0254	THDP-binding	TPP_enzyme_C	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	1747	Cutibacterium acnes
SRR6145058	k99_12023	k99_12023_1-1614.1	antibacterial	k99_12023_k99_12023_2	888	1614	PF01180	0.50776	CL0036	TIM_barrel	DHO_dh	Dihydroorotate dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_8889	k99_8889_1-1408.1	antibacterial	k99_8889_k99_8889_1	1	1408	PF13193	0.77673	CL0531	AMP-binding_C	AMP-binding_C	AMP-binding enzyme C-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_8889	k99_8889_1-1408.1	antibacterial	k99_8889_k99_8889_1	1	1408	PF00501	0.74406	CL0378	ANL	AMP-binding	AMP-binding enzyme	1747	Cutibacterium acnes
SRR6145058	k99_11893	k99_11893_2-842.1	antibacterial	k99_11893_k99_11893_1	2	842	PF01032	0.56319	CL0142	Membrane_trans	FecCD	FecCD transport family	1747	Cutibacterium acnes
SRR6145058	k99_11893	k99_11893_2-842.1	antibacterial	k99_11893_k99_11893_1	2	842	PF00950	0.46743	CL0142	Membrane_trans	ABC-3	ABC 3 transport family	1747	Cutibacterium acnes
SRR6145058	k99_11893	k99_11893_2-842.1	antibacterial	k99_11893_k99_11893_1	2	842	PF02653	0.46999	CL0142	Membrane_trans	BPD_transp_2	Branched-chain amino acid transport system / permease component	1747	Cutibacterium acnes
SRR6145058	k99_11031	k99_11031_988-1444.1	antibacterial	k99_11031_k99_11031_3	988	1444	PF13561	0.5673	CL0063	NADP_Rossmann	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	1747	Cutibacterium acnes
SRR6145058	k99_11031	k99_11031_988-1444.1	antibacterial	k99_11031_k99_11031_3	988	1444	PF00106	0.56503	CL0063	NADP_Rossmann	adh_short	short chain dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_9836	k99_9836_2-2135.1	antibacterial	k99_9836_k99_9836_1	2	140	PF02302	0.56623	CL0031	Phosphatase	PTS_IIB	PTS system, Lactose/Cellobiose specific IIB subunit	1747	Cutibacterium acnes
SRR6145058	k99_9836	k99_9836_2-2135.1	antibacterial	k99_9836_k99_9836_2	521	2135	PF00501	0.73476	CL0378	ANL	AMP-binding	AMP-binding enzyme	1747	Cutibacterium acnes
SRR6145058	k99_9901	k99_9901_1700-2324.1	NA	k99_9901_k99_9901_2	1700	2324	PF00069	0.57802	CL0016	PKinase	Pkinase	Protein kinase domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_9901	k99_9901_1700-2324.1	NA	k99_9901_k99_9901_2	1700	2324	PF07714	0.53932	CL0016	PKinase	Pkinase_Tyr	Protein tyrosine kinase	1234380	Cutibacterium acnes C1
SRR6145058	k99_9901	k99_9901_1700-2324.1	NA	k99_9901_k99_9901_2	1700	2324	PF06293	0.52749	CL0016	PKinase	Kdo	Lipopolysaccharide kinase (Kdo/WaaP) family	1234380	Cutibacterium acnes C1
SRR6145058	k99_2720	k99_2720_114-1802.1	antibacterial	k99_2720_k99_2720_1	114	534	PF07681	0.66801	CL0131	DoxD-like	DoxX	DoxX	1747	Cutibacterium acnes
SRR6145058	k99_2720	k99_2720_114-1802.1	antibacterial	k99_2720_k99_2720_2	626	1802	PF13439	0.61146	CL0113	GT-B	Glyco_transf_4	Glycosyltransferase Family 4	1747	Cutibacterium acnes
SRR6145058	k99_2720	k99_2720_114-1802.1	antibacterial	k99_2720_k99_2720_2	626	1802	PF13579	0.58214	CL0113	GT-B	Glyco_trans_4_4	Glycosyl transferase 4-like domain	1747	Cutibacterium acnes
SRR6145058	k99_2720	k99_2720_114-1802.1	antibacterial	k99_2720_k99_2720_2	626	1802	PF00534	0.57409	CL0113	GT-B	Glycos_transf_1	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_2720	k99_2720_114-1802.1	antibacterial	k99_2720_k99_2720_2	626	1802	PF13692	0.59578	CL0113	GT-B	Glyco_trans_1_4	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_2720	k99_2720_114-1802.1	antibacterial	k99_2720_k99_2720_2	626	1802	PF13524	0.62224	CL0113	GT-B	Glyco_trans_1_2	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_9458	k99_9458_2-488.1	antibacterial	k99_9458_k99_9458_1	2	488	PF05076	0.53678	NA	NA	SUFU	Suppressor of fused protein (SUFU)	1747	Cutibacterium acnes
SRR6145058	k99_2271	k99_2271_0-786.1	antibacterial	k99_2271_k99_2271_1	0	786	PF00144	0.51354	CL0013	Beta-lactamase	Beta-lactamase	Beta-lactamase	1234380	Cutibacterium acnes C1
SRR6145058	k99_8707	k99_8707_23-2808.1	antibacterial	k99_8707_k99_8707_1	23	890	PF01261	0.72901	CL0036	TIM_barrel	AP_endonuc_2	Xylose isomerase-like TIM barrel	1747	Cutibacterium acnes
SRR6145058	k99_8707	k99_8707_23-2808.1	antibacterial	k99_8707_k99_8707_2	961	1960	PF01261	0.68822	CL0036	TIM_barrel	AP_endonuc_2	Xylose isomerase-like TIM barrel	1747	Cutibacterium acnes
SRR6145058	k99_8707	k99_8707_23-2808.1	antibacterial	k99_8707_k99_8707_3	2004	2808	PF02894	0.71253	CL0139	GADPH_aa-bio_dh	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain	1747	Cutibacterium acnes
SRR6145058	k99_6250	k99_6250_273-885.1	antibacterial	k99_6250_k99_6250_1	273	885	PF15420	0.50053	NA	NA	Abhydrolase_9_N	Alpha/beta-hydrolase family N-terminus	1747	Cutibacterium acnes
SRR6145058	k99_10023	k99_10023_287-1697.1	antibacterial	k99_10023_k99_10023_2	287	1697	PF00115	0.54762	NA	NA	COX1	Cytochrome C and Quinol oxidase polypeptide I	1747	Cutibacterium acnes
SRR6145058	k99_11587	k99_11587_2-1205.1	antibacterial	k99_11587_k99_11587_1	2	1205	PF05088	0.50922	CL0063	NADP_Rossmann	Bac_GDH	Bacterial NAD-glutamate dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_11523	k99_11523_2-770.1	antibacterial	k99_11523_k99_11523_1	2	770	PF13561	0.5839	CL0063	NADP_Rossmann	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	1747	Cutibacterium acnes
SRR6145058	k99_11523	k99_11523_2-770.1	antibacterial	k99_11523_k99_11523_1	2	770	PF00106	0.59876	CL0063	NADP_Rossmann	adh_short	short chain dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_11523	k99_11523_2-770.1	antibacterial	k99_11523_k99_11523_1	2	770	PF08659	0.61977	CL0063	NADP_Rossmann	KR	KR domain	1747	Cutibacterium acnes
SRR6145058	k99_11523	k99_11523_2-770.1	antibacterial	k99_11523_k99_11523_1	2	770	PF01370	0.62744	CL0063	NADP_Rossmann	Epimerase	NAD dependent epimerase/dehydratase family	1747	Cutibacterium acnes
SRR6145058	k99_11523	k99_11523_2-770.1	antibacterial	k99_11523_k99_11523_1	2	770	PF16363	0.6343	CL0063	NADP_Rossmann	GDP_Man_Dehyd	GDP-mannose 4,6 dehydratase	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_1	2	308	PF13561	0.89518	CL0063	NADP_Rossmann	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_1	2	308	PF08659	0.88736	CL0063	NADP_Rossmann	KR	KR domain	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_2	348	1068	PF13561	0.87245	CL0063	NADP_Rossmann	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_2	348	1068	PF00106	0.87305	CL0063	NADP_Rossmann	adh_short	short chain dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_2	348	1068	PF13460	0.87067	CL0063	NADP_Rossmann	NAD_binding_10	NAD(P)H-binding	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_2	348	1068	PF01370	0.8655	CL0063	NADP_Rossmann	Epimerase	NAD dependent epimerase/dehydratase family	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_2	348	1068	PF08659	0.84022	CL0063	NADP_Rossmann	KR	KR domain	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_4	1569	2400	PF02104	0.81925	NA	NA	SURF1	SURF1 family	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_5	2396	3218	PF13489	0.87386	CL0063	NADP_Rossmann	Methyltransf_23	Methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_5	2396	3218	PF13649	0.85924	CL0063	NADP_Rossmann	Methyltransf_25	Methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_5	2396	3218	PF08242	0.84878	CL0063	NADP_Rossmann	Methyltransf_12	Methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_1333	k99_1333_2-3218.1	antibacterial	k99_1333_k99_1333_5	2396	3218	PF08241	0.79849	CL0063	NADP_Rossmann	Methyltransf_11	Methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_9905	k99_9905_1-1252.1	antibacterial	k99_9905_k99_9905_1	1	1252	PF00890	0.5492	CL0063	NADP_Rossmann	FAD_binding_2	FAD binding domain	1747	Cutibacterium acnes
SRR6145058	k99_9905	k99_9905_1-1252.1	antibacterial	k99_9905_k99_9905_1	1	1252	PF01266	0.55721	CL0063	NADP_Rossmann	DAO	FAD dependent oxidoreductase	1747	Cutibacterium acnes
SRR6145058	k99_2088	k99_2088_2-2202.1	antibacterial	k99_2088_k99_2088_1	2	680	PF02894	0.61291	CL0139	GADPH_aa-bio_dh	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain	1747	Cutibacterium acnes
SRR6145058	k99_2088	k99_2088_2-2202.1	antibacterial	k99_2088_k99_2088_3	942	2202	PF13520	0.53932	CL0062	APC	AA_permease_2	Amino acid permease	1747	Cutibacterium acnes
SRR6145058	k99_1967	k99_1967_2-1766.1	antibacterial	k99_1967_k99_1967_1	2	1766	PF12697	0.59831	CL0028	AB_hydrolase	Abhydrolase_6	Alpha/beta hydrolase family	1747	Cutibacterium acnes
SRR6145058	k99_1967	k99_1967_2-1766.1	antibacterial	k99_1967_k99_1967_1	2	1766	PF00561	0.5701	CL0028	AB_hydrolase	Abhydrolase_1	alpha/beta hydrolase fold	1747	Cutibacterium acnes
SRR6145058	k99_4114	k99_4114_268-985.1	antibacterial	k99_4114_k99_4114_2	268	985	PF02104	0.62842	NA	NA	SURF1	SURF1 family	1747	Cutibacterium acnes
SRR6145058	k99_1206	k99_1206_2-3215.1	antibacterial	k99_1206_k99_1206_1	2	1049	PF01032	0.69954	CL0142	Membrane_trans	FecCD	FecCD transport family	1747	Cutibacterium acnes
SRR6145058	k99_1206	k99_1206_2-3215.1	antibacterial	k99_1206_k99_1206_1	2	1049	PF00950	0.59544	CL0142	Membrane_trans	ABC-3	ABC 3 transport family	1747	Cutibacterium acnes
SRR6145058	k99_1206	k99_1206_2-3215.1	antibacterial	k99_1206_k99_1206_2	1045	2149	PF01497	0.67468	CL0043	Chelatase	Peripla_BP_2	Periplasmic binding protein	1747	Cutibacterium acnes
SRR6145058	k99_1206	k99_1206_2-3215.1	antibacterial	k99_1206_k99_1206_3	2270	3215	PF04213	0.67193	NA	NA	HtaA	Htaa	1747	Cutibacterium acnes
SRR6145058	k99_9654	k99_9654_636-2130.1	antibacterial	k99_9654_k99_9654_2	636	2130	PF00171	0.55594	CL0099	ALDH-like	Aldedh	Aldehyde dehydrogenase family	1747	Cutibacterium acnes
SRR6145058	k99_10024	k99_10024_12-336.1	antibacterial	k99_10024_k99_10024_1	12	336	PF13806	0.56447	CL0516	ISP-domain	Rieske_2	Rieske-like [2Fe-2S] domain	1747	Cutibacterium acnes
SRR6145058	k99_10024	k99_10024_12-336.1	antibacterial	k99_10024_k99_10024_1	12	336	PF00355	0.52063	CL0516	ISP-domain	Rieske	Rieske [2Fe-2S] domain	1747	Cutibacterium acnes
SRR6145058	k99_2089	k99_2089_2-854.1	antibacterial	k99_2089_k99_2089_1	2	854	PF00534	0.58001	CL0113	GT-B	Glycos_transf_1	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_2089	k99_2089_2-854.1	antibacterial	k99_2089_k99_2089_1	2	854	PF13692	0.54208	CL0113	GT-B	Glyco_trans_1_4	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_2089	k99_2089_2-854.1	antibacterial	k99_2089_k99_2089_1	2	854	PF13439	0.5086	CL0113	GT-B	Glyco_transf_4	Glycosyltransferase Family 4	1747	Cutibacterium acnes
SRR6145058	k99_2089	k99_2089_2-854.1	antibacterial	k99_2089_k99_2089_1	2	854	PF13579	0.51306	CL0113	GT-B	Glyco_trans_4_4	Glycosyl transferase 4-like domain	1747	Cutibacterium acnes
SRR6145058	k99_2526	k99_2526_232-846.1	antibacterial	k99_2526_k99_2526_2	232	622	PF01850	0.58213	CL0280	PIN	PIN	PIN domain	1747	Cutibacterium acnes
SRR6145058	k99_2526	k99_2526_232-846.1	antibacterial	k99_2526_k99_2526_3	618	846	PF09386	0.55426	CL0057	Met_repress	ParD	Antitoxin ParD	1747	Cutibacterium acnes
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_1	1	571	PF12802	0.78146	CL0123	HTH	MarR_2	MarR family	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_1	1	571	PF01047	0.78427	CL0123	HTH	MarR	MarR family	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_1	1	571	PF12840	0.79493	CL0123	HTH	HTH_20	Helix-turn-helix domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_1	1	571	PF01978	0.76572	CL0123	HTH	TrmB	Sugar-specific transcriptional regulator TrmB	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_1	1	571	PF09339	0.77413	CL0123	HTH	HTH_IclR	IclR helix-turn-helix domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_2	572	1286	PF02665	0.75048	NA	NA	Nitrate_red_gam	Nitrate reductase gamma subunit	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_3	1282	1954	PF02613	0.68544	NA	NA	Nitrate_red_del	Nitrate reductase delta subunit	1234380	Cutibacterium acnes C1
SRR6145058	k99_9203	k99_9203_1-2444.1	antibacterial	k99_9203_k99_9203_4	1955	2444	PF14711	0.7395	NA	NA	Nitr_red_bet_C	Respiratory nitrate reductase beta C-terminal	1234380	Cutibacterium acnes C1
SRR6145058	k99_5993	k99_5993_0-1672.1	antibacterial	k99_5993_k99_5993_1	0	330	PF00106	0.71066	CL0063	NADP_Rossmann	adh_short	short chain dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_5993	k99_5993_0-1672.1	antibacterial	k99_5993_k99_5993_1	0	330	PF13561	0.67944	CL0063	NADP_Rossmann	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	1747	Cutibacterium acnes
SRR6145058	k99_5993	k99_5993_0-1672.1	antibacterial	k99_5993_k99_5993_2	352	1672	PF02397	0.61432	NA	NA	Bac_transf	Bacterial sugar transferase	1747	Cutibacterium acnes
SRR6145058	k99_5993	k99_5993_0-1672.1	antibacterial	k99_5993_k99_5993_2	352	1672	PF13727	0.56281	CL0063	NADP_Rossmann	CoA_binding_3	CoA-binding domain	1747	Cutibacterium acnes
SRR6145058	k99_7886	k99_7886_0-2065.1	antibacterial	k99_7886_k99_7886_1	0	93	PF13344	0.61273	CL0137	HAD	Hydrolase_6	Haloacid dehalogenase-like hydrolase	1747	Cutibacterium acnes
SRR6145058	k99_7886	k99_7886_0-2065.1	antibacterial	k99_7886_k99_7886_2	208	2065	PF13229	0.74862	CL0268	Pec_lyase-like	Beta_helix	Right handed beta helix region	1747	Cutibacterium acnes
SRR6145058	k99_5994	k99_5994_585-2334.1	antibacterial	k99_5994_k99_5994_1	585	2334	PF15870	0.52866	NA	NA	EloA-BP1	ElonginA binding-protein 1	9606	Homo sapiens
SRR6145058	k99_1532	k99_1532_317-1361.1	antibacterial	k99_1532_k99_1532_2	317	1361	PF01458	0.53898	NA	NA	UPF0051	Uncharacterized protein family (UPF0051)	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF16363	0.5024	CL0063	NADP_Rossmann	GDP_Man_Dehyd	GDP-mannose 4,6 dehydratase	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF01370	0.46428	CL0063	NADP_Rossmann	Epimerase	NAD dependent epimerase/dehydratase family	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF02719	0.45372	CL0063	NADP_Rossmann	Polysacc_synt_2	Polysaccharide biosynthesis protein	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF07993	0.48054	CL0063	NADP_Rossmann	NAD_binding_4	Male sterility protein	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF04321	0.49894	CL0063	NADP_Rossmann	RmlD_sub_bind	RmlD substrate binding domain	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF13460	0.5229	CL0063	NADP_Rossmann	NAD_binding_10	NAD(P)H-binding	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF01073	0.58263	CL0063	NADP_Rossmann	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family	1747	Cutibacterium acnes
SRR6145058	k99_5802	k99_5802_1-982.1	antibacterial	k99_5802_k99_5802_1	1	982	PF05368	0.61509	CL0063	NADP_Rossmann	NmrA	NmrA-like family	1747	Cutibacterium acnes
SRR6145058	k99_765	k99_765_897-1041.1	antibacterial	k99_765_k99_765_3	897	1041	PF16870	0.52174	CL0591	TKC_like	OxoGdeHyase_C	2-oxoglutarate dehydrogenase C-terminal	1234380	Cutibacterium acnes C1
SRR6145058	k99_5867	k99_5867_0-1182.1	antibacterial	k99_5867_k99_5867_1	0	1182	PF00676	0.56482	CL0254	THDP-binding	E1_dh	Dehydrogenase E1 component	1747	Cutibacterium acnes
SRR6145058	k99_8845	k99_8845_81-2561.1	antibacterial	k99_8845_k99_8845_1	81	858	PF00590	0.59393	NA	NA	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases	1747	Cutibacterium acnes
SRR6145058	k99_8845	k99_8845_81-2561.1	antibacterial	k99_8845_k99_8845_2	877	1855	PF02571	0.59452	CL0063	NADP_Rossmann	CbiJ	Precorrin-6x reductase CbiJ/CobK	1747	Cutibacterium acnes
SRR6145058	k99_8845	k99_8845_81-2561.1	antibacterial	k99_8845_k99_8845_3	1856	2561	PF02277	0.62432	NA	NA	DBI_PRT	Phosphoribosyltransferase	1747	Cutibacterium acnes
SRR6145058	k99_9462	k99_9462_356-1601.1	antibacterial	k99_9462_k99_9462_2	356	1601	PF01654	0.57132	NA	NA	Cyt_bd_oxida_I	Cytochrome bd terminal oxidase subunit I	1747	Cutibacterium acnes
SRR6145058	k99_7828	k99_7828_0-2753.1	antibacterial	k99_7828_k99_7828_1	0	1254	PF00425	0.71215	NA	NA	Chorismate_bind	chorismate binding enzyme	1747	Cutibacterium acnes
SRR6145058	k99_7828	k99_7828_0-2753.1	antibacterial	k99_7828_k99_7828_2	1226	2753	PF02775	0.63054	CL0254	THDP-binding	TPP_enzyme_C	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	1747	Cutibacterium acnes
SRR6145058	k99_7828	k99_7828_0-2753.1	antibacterial	k99_7828_k99_7828_2	1226	2753	PF02776	0.64358	CL0254	THDP-binding	TPP_enzyme_N	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_1	64	1549	PF01510	0.60894	NA	NA	Amidase_2	N-acetylmuramoyl-L-alanine amidase	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_10	4121	4655	PF00005	0.55046	CL0023	P-loop_NTPase	ABC_tran	ABC transporter	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_10	4121	4655	PF13191	0.5778	CL0023	P-loop_NTPase	AAA_16	AAA ATPase domain	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_10	4121	4655	PF03308	0.54414	CL0023	P-loop_NTPase	MeaB	Methylmalonyl Co-A mutase-associated GTPase MeaB	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_10	4121	4655	PF13304	0.55117	CL0023	P-loop_NTPase	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_10	4121	4655	PF13555	0.53633	CL0023	P-loop_NTPase	AAA_29	P-loop containing region of AAA domain	1747	Cutibacterium acnes
SRR6145058	k99_2663	k99_2663_64-5687.1	antibacterial	k99_2663_k99_2663_12	5129	5687	PF01613	0.56636	CL0336	FMN-binding	Flavin_Reduct	Flavin reductase like domain	1747	Cutibacterium acnes
SRR6145058	k99_10342	k99_10342_248-1130.1	antibacterial	k99_10342_k99_10342_2	248	1130	PF13367	0.50327	CL0472	Peptidase_U	PrsW-protease	PrsW family intramembrane metalloprotease	1747	Cutibacterium acnes
SRR6145058	k99_10234	k99_10234_151-1284.1	antibacterial	k99_10234_k99_10234_1	151	1033	PF02628	0.58726	CL0328	2heme_cytochrom	COX15-CtaA	Cytochrome oxidase assembly protein	1747	Cutibacterium acnes
SRR6145058	k99_10234	k99_10234_151-1284.1	antibacterial	k99_10234_k99_10234_2	1029	1284	PF12698	0.61785	CL0181	ABC-2	ABC2_membrane_3	ABC-2 family transporter protein	1747	Cutibacterium acnes
SRR6145058	k99_8519	k99_8519_55-1159.1	NA	k99_8519_k99_8519_1	55	1159	PF07714	0.58173	CL0016	PKinase	Pkinase_Tyr	Protein tyrosine kinase	1170318	Cutibacterium avidum 44067
SRR6145058	k99_8519	k99_8519_55-1159.1	NA	k99_8519_k99_8519_1	55	1159	PF00069	0.57792	CL0016	PKinase	Pkinase	Protein kinase domain	1170318	Cutibacterium avidum 44067
SRR6145058	k99_2593	k99_2593_0-1113.1	antibacterial	k99_2593_k99_2593_1	0	372	PF02572	0.67871	CL0023	P-loop_NTPase	CobA_CobO_BtuR	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP	1747	Cutibacterium acnes
SRR6145058	k99_2593	k99_2593_0-1113.1	antibacterial	k99_2593_k99_2593_2	600	1113	PF08704	0.69626999999999994	CL0063	NADP_Rossmann	GCD14	tRNA methyltransferase complex GCD14 subunit	1747	Cutibacterium acnes
SRR6145058	k99_2593	k99_2593_0-1113.1	antibacterial	k99_2593_k99_2593_2	600	1113	PF00891	0.83652	CL0063	NADP_Rossmann	Methyltransf_2	O-methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_2593	k99_2593_0-1113.1	antibacterial	k99_2593_k99_2593_2	600	1113	PF13847	0.85424	CL0063	NADP_Rossmann	Methyltransf_31	Methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_2593	k99_2593_0-1113.1	antibacterial	k99_2593_k99_2593_2	600	1113	PF13649	0.85416	CL0063	NADP_Rossmann	Methyltransf_25	Methyltransferase domain	1747	Cutibacterium acnes
SRR6145058	k99_4999	k99_4999_0-192.1	antibacterial	k99_4999_k99_4999_1	0	192	PF00903	0.60031	CL0104	Glyoxalase	Glyoxalase	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	1747	Cutibacterium acnes
SRR6145058	k99_959	k99_959_1153-1570.1	antibacterial	k99_959_k99_959_2	1153	1570	PF00293	0.506	CL0261	NUDIX	NUDIX	NUDIX domain	1747	Cutibacterium acnes
SRR6145058	k99_11527	k99_11527_618-3782.1	antibacterial	k99_11527_k99_11527_1	618	1533	PF00294	0.58628	CL0118	Ribokinase	PfkB	pfkB family carbohydrate kinase	1747	Cutibacterium acnes
SRR6145058	k99_11527	k99_11527_618-3782.1	antibacterial	k99_11527_k99_11527_1	618	1533	PF08543	0.5663	CL0118	Ribokinase	Phos_pyr_kin	Phosphomethylpyrimidine kinase	1747	Cutibacterium acnes
SRR6145058	k99_11527	k99_11527_618-3782.1	antibacterial	k99_11527_k99_11527_2	1534	2608	PF14486	0.64377	CL0103	Gal_mutarotase	DUF4432	Domain of unknown function (DUF4432)	1747	Cutibacterium acnes
